latitude,longitude,duration,restriction_code,category,marker_colour,restriction_summary,on_street,street_from,street_to,parking_zone
-37.80307185544459,144.95966334548513,3P,MP3P,Metered parking,blue,Mon-Fri 07:00:00-19:00:00 MP3P,Barry Street,Leicester Street,Pelham Street,7002
-37.80307185544459,144.95966334548513,3P,MP3P,Metered parking,blue,Mon-Fri 19:00:00-22:00:00 MP3P,Barry Street,Leicester Street,Pelham Street,7002
-37.80307185544459,144.95966334548513,3P,MP3P,Metered parking,blue,Sat-Sun 07:00:00-22:00:00 MP3P,Barry Street,Leicester Street,Pelham Street,7002
-37.80493584201834,144.9599299457858,Loading zone,LZ30,Loading zone,yellow,Mon-Fri 07:00:00-16:00:00 LZ30,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80493584201834,144.9599299457858,2P,2P,Timed parking,green,Mon-Fri 07:30:00-18:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80493584201834,144.9599299457858,3P,MP3P,Metered parking,blue,Mon-Fri 16:00:00-19:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80493584201834,144.9599299457858,3P,MP3P,Metered parking,blue,Mon-Fri 19:00:00-22:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80493584201834,144.9599299457858,2P,2P,Timed parking,green,Sat 07:30:00-12:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80493584201834,144.9599299457858,3P,MP3P,Metered parking,blue,Sat-Sun 07:00:00-22:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80488630509279,144.9599071396808,Loading zone,LZ30,Loading zone,yellow,Mon-Fri 07:00:00-16:00:00 LZ30,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80488630509279,144.9599071396808,2P,2P,Timed parking,green,Mon-Fri 07:30:00-18:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80488630509279,144.9599071396808,3P,MP3P,Metered parking,blue,Mon-Fri 16:00:00-19:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80488630509279,144.9599071396808,3P,MP3P,Metered parking,blue,Mon-Fri 19:00:00-22:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80488630509279,144.9599071396808,2P,2P,Timed parking,green,Sat 07:30:00-12:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80488630509279,144.9599071396808,3P,MP3P,Metered parking,blue,Sat-Sun 07:00:00-22:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80483438857518,144.95988325071232,Loading zone,LZ30,Loading zone,yellow,Mon-Fri 07:00:00-16:00:00 LZ30,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80483438857518,144.95988325071232,2P,2P,Timed parking,green,Mon-Fri 07:30:00-18:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80483438857518,144.95988325071232,3P,MP3P,Metered parking,blue,Mon-Fri 16:00:00-19:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80483438857518,144.95988325071232,3P,MP3P,Metered parking,blue,Mon-Fri 19:00:00-22:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80483438857518,144.95988325071232,2P,2P,Timed parking,green,Sat 07:30:00-12:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80483438857518,144.95988325071232,3P,MP3P,Metered parking,blue,Sat-Sun 07:00:00-22:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.8047825506759,144.959859492751,Loading zone,LZ30,Loading zone,yellow,Mon-Fri 07:00:00-16:00:00 LZ30,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.8047825506759,144.959859492751,2P,2P,Timed parking,green,Mon-Fri 07:30:00-18:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.8047825506759,144.959859492751,3P,MP3P,Metered parking,blue,Mon-Fri 16:00:00-19:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.8047825506759,144.959859492751,3P,MP3P,Metered parking,blue,Mon-Fri 19:00:00-22:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.8047825506759,144.959859492751,2P,2P,Timed parking,green,Sat 07:30:00-12:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.8047825506759,144.959859492751,3P,MP3P,Metered parking,blue,Sat-Sun 07:00:00-22:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80472860023576,144.95983457919806,Loading zone,LZ30,Loading zone,yellow,Mon-Fri 07:00:00-16:00:00 LZ30,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80472860023576,144.95983457919806,2P,2P,Timed parking,green,Mon-Fri 07:30:00-18:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80472860023576,144.95983457919806,3P,MP3P,Metered parking,blue,Mon-Fri 16:00:00-19:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80472860023576,144.95983457919806,3P,MP3P,Metered parking,blue,Mon-Fri 19:00:00-22:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80472860023576,144.95983457919806,2P,2P,Timed parking,green,Sat 07:30:00-12:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80472860023576,144.95983457919806,3P,MP3P,Metered parking,blue,Sat-Sun 07:00:00-22:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80467526890163,144.9598100707709,Loading zone,LZ30,Loading zone,yellow,Mon-Fri 07:00:00-16:00:00 LZ30,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80467526890163,144.9598100707709,2P,2P,Timed parking,green,Mon-Fri 07:30:00-18:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80467526890163,144.9598100707709,3P,MP3P,Metered parking,blue,Mon-Fri 16:00:00-19:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80467526890163,144.9598100707709,3P,MP3P,Metered parking,blue,Mon-Fri 19:00:00-22:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80467526890163,144.9598100707709,2P,2P,Timed parking,green,Sat 07:30:00-12:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80467526890163,144.9598100707709,3P,MP3P,Metered parking,blue,Sat-Sun 07:00:00-22:00:00 MP3P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80494406642042,144.95978034301152,Loading zone,LZ30,Loading zone,yellow,Mon-Fri 07:00:00-16:00:00 LZ30,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
-37.80494406642042,144.95978034301152,2P,2P,Timed parking,green,Mon-Fri 07:30:00-18:30:00 2P,Berkeley Street,Leicester Street | Queensberry Street,Queensberry Street | Pelham Street,7010
